blue	green	red
-9.84E-11	-1.59E-10	-1.03E-10
-2.20E-10	-3.95E-10	-1.79E-10
-3.06E-10	-6.12E-10	-2.45E-10
-3.99E-10	-8.27E-10	-3.17E-10
-5.08E-10	-1.00E-09	-3.90E-10
-6.17E-10	-1.16E-09	-4.73E-10
-7.59E-10	-1.30E-09	-5.89E-10
-8.70E-10	-1.41E-09	-6.66E-10
-9.49E-10	-1.51E-09	-7.37E-10
-1.02E-09	-1.58E-09	-8.09E-10
-1.08E-09	-1.63E-09	-8.78E-10
-1.14E-09	-1.67E-09	-9.46E-10
-1.19E-09	-1.71E-09	-1.01E-09
-1.24E-09	-1.75E-09	-1.07E-09
-1.27E-09	-1.78E-09	-1.11E-09
-1.30E-09	-1.81E-09	-1.15E-09
-1.33E-09	-1.84E-09	-1.18E-09
-1.35E-09	-1.86E-09	-1.21E-09
-1.37E-09	-1.88E-09	-1.24E-09
-1.39E-09	-1.89E-09	-1.26E-09
-1.40E-09	-1.90E-09	-1.28E-09
-1.41E-09	-1.91E-09	-1.30E-09
-1.43E-09	-1.91E-09	-1.32E-09
-1.43E-09	-1.92E-09	-1.33E-09
-1.44E-09	-1.92E-09	-1.34E-09
-1.45E-09	-1.93E-09	-1.35E-09
-1.46E-09	-1.93E-09	-1.36E-09
-1.46E-09	-1.94E-09	-1.36E-09
-1.47E-09	-1.94E-09	-1.37E-09
-1.47E-09	-1.94E-09	-1.37E-09
-1.15E-09	-1.51E-09	-1.11E-09
-8.96E-10	-1.18E-09	-9.13E-10
-7.17E-10	-9.99E-10	-7.85E-10
-5.85E-10	-8.83E-10	-6.61E-10
-4.95E-10	-7.71E-10	-5.72E-10
-4.33E-10	-6.68E-10	-5.01E-10
-3.83E-10	-5.69E-10	-4.45E-10
-3.43E-10	-5.00E-10	-4.00E-10
-3.09E-10	-4.47E-10	-3.62E-10
-2.82E-10	-4.04E-10	-3.30E-10
-2.61E-10	-3.72E-10	-3.06E-10
-2.45E-10	-3.41E-10	-2.83E-10
-2.32E-10	-3.17E-10	-2.63E-10
-2.20E-10	-2.95E-10	-2.45E-10
-2.10E-10	-2.79E-10	-2.31E-10
-1.99E-10	-2.63E-10	-2.19E-10
-1.91E-10	-2.49E-10	-2.08E-10
-1.83E-10	-2.37E-10	-1.97E-10
-1.75E-10	-2.27E-10	-1.87E-10
-1.68E-10	-2.18E-10	-1.69E-10
-1.61E-10	-2.11E-10	-1.62E-10
-1.56E-10	-2.02E-10	-1.56E-10
-1.51E-10	-1.96E-10	-1.50E-10
-1.47E-10	-1.89E-10	-1.43E-10
-1.44E-10	-1.82E-10	-1.38E-10
-1.42E-10	-1.74E-10	-1.32E-10
-1.40E-10	-1.72E-10	-1.28E-10
-1.37E-10	-1.67E-10	-1.25E-10
-1.35E-10	-1.62E-10	-1.20E-10
